wave,time,class,prevalence,prevalence_pct
2016,1,1,0.40687612063012435,40.68761206301244
2016,1,2,0.25344533690055204,25.344533690055204
2016,1,3,0.2143984060456761,21.43984060456761
2016,1,4,0.12528013642364752,12.528013642364751
2018,2,1,0.35240564779966954,35.24056477996695
2018,2,2,0.27861477823021963,27.861477823021964
2018,2,3,0.255233439636087,25.523343963608703
2018,2,4,0.11374613433402389,11.37461343340239
2021,3,1,0.3319510067903542,33.19510067903542
2021,3,2,0.2433331494585393,24.333314945853928
2021,3,3,0.30480934900762396,30.480934900762396
2021,3,4,0.11990649474348256,11.990649474348256
2023,4,1,0.3055020656112306,30.550206561123062
2023,4,2,0.28705039349425054,28.705039349425054
2023,4,3,0.2307448602259824,23.07448602259824
2023,4,4,0.17670268066853648,17.670268066853648
