period,wave_from,wave_to,class,prevalence_t_pct,prevalence_t1_pct,stability_pct,outflow_pct,inflow_pct,net_flow_pct,prevalence_change_pct
2016_2018,2016,2018,1,40.69,35.24,45.51,22.17,17.22,-4.95,-5.45
2016_2018,2016,2018,2,25.34,27.86,38.87,15.49,17.48,1.98,2.52
2016_2018,2016,2018,3,21.44,25.52,37.02,13.5,16.95,3.45,4.08
2016_2018,2016,2018,4,12.53,11.37,20.63,9.94,9.46,-0.48,-1.15
2018_2021,2018,2021,1,35.24,33.2,44.31,19.63,17.59,-2.03,-2.05
2018_2021,2018,2021,2,27.86,24.33,35.52,17.97,14.41,-3.56,-3.53
2018_2021,2018,2021,3,25.52,30.48,44.59,14.14,18.62,4.48,4.96
2018_2021,2018,2021,4,11.37,11.99,23.02,8.76,9.87,1.11,0.62
2021_2023,2021,2023,1,33.2,30.55,39.72,20.01,16.94,-3.07,-2.64
2021_2023,2021,2023,2,24.33,28.71,38.92,14.86,19.86,5,4.37
2021_2023,2021,2023,3,30.48,23.07,32.33,20.63,12.8,-7.82,-7.41
2021_2023,2021,2023,4,11.99,17.67,28.91,8.52,14.42,5.9,5.68
